timestamp,event_duration_s,peak_order,peak_feedback,max_error,rms_error,mean_stress,avg_weight,is_loaded
2026-02-24 13:44:35,ARMGC_212,25.49,3280,3331,3337,1021.04,291.08,8152.82,-1.0,0
2026-02-24 13:44:37,ARMGC_212,2.39,199,309,126,53.56,39.4,162.79,-1.2,0
2026-02-24 13:49:26,ARMGC_212,79.87,9844,9112,9841,1394.97,293.36,25159.63,-0.7,0
2026-02-24 13:49:29,ARMGC_212,2.28,199,239,103,44.09,38.19,205.38,-1.0,0
2026-02-24 13:54:25,ARMGC_212,39.15,4640,4614,4644,1179.98,288.59,10426.26,-0.8,0
2026-02-24 14:03:43,ARMGC_212,29.39,3769,3666,3692,1072.36,286.1,7397.69,-0.6,0
2026-02-24 14:03:46,ARMGC_212,2.21,199,247,94,33.96,25.76,67.47,-0.4,0
2026-02-24 14:05:00,ARMGC_246,59.67,5999,6099,5962,1394.77,324.26,26394.41,3.8,0
2026-02-24 14:05:00,59.68,5999,6118,5999,1414.62,329.14,3.8,0
2026-02-24 14:07:39,40.22,5999,6193,6031,1711.24,460.97,2.5,0
2026-02-24 14:07:39,ARMGC_246,40.22,5999,6193,6033,1682.83,450.96,25181.11,2.5,0
2026-02-24 14:07:42,2.98,199,321,137,69.44,52.29,3.0,0
2026-02-24 14:07:42,ARMGC_246,2.98,199,321,137,66.23,49.99,162.33,3.0,0
2026-02-24 14:09:29,ARMGC_212,97.47,10000,10212,10000,2074.6,409.07,41043.67,-1.8,0
2026-02-24 14:11:42,33.95,5999,6257,6054,1857.02,530.32,2.1,0
2026-02-24 14:11:42,ARMGC_246,33.94,5999,6249,6050,1807.92,510.05,18701.07,2.1,0
2026-02-24 14:14:50,25.6,5288,4993,5288,1890.08,625.31,2.7,0
2026-02-24 14:14:50,ARMGC_246,25.69,5287,5006,5289,1857.53,609.44,14803.25,2.7,0
2026-02-24 14:14:55,ARMGC_246,3.18,199,170,124,58.28,40.67,187.28,2.8,0
2026-02-24 14:14:55,3.29,199,173,118,59.92,41.93,2.8,0
2026-02-24 14:15:36,ARMGC_212,99.29,10000,9917,10051,1380.06,274.79,32052.97,-0.3,0
2026-02-24 14:17:49,ARMGC_246,33.63,5999,6154,5999,1829.35,519.16,17036.9,2.7,0
2026-02-24 14:17:49,33.42,5999,6154,5881,1782.96,506.8,2.7,0
2026-02-24 14:19:51,ARMGC_212,65.73,5358,5007,5358,1190.38,266.85,19483.51,-0.6,0
2026-02-24 14:23:48,ARMGC_212,62.26,8036,7812,8006,1896.57,407.57,20461.91,-0.3,0
2026-02-24 14:23:51,ARMGC_212,2.39,199,234,76,34.71,26.81,49.61,-1.0,0
2026-02-24 14:25:47,ARMGC_246,68.42,5999,6140,5872,1225.94,272.7,26089.56,0.7,0
2026-02-24 14:25:47,68.6,5999,6079,5982,1280.72,286.99,0.7,0
2026-02-24 14:28:25,ARMGC_212,40.98,5010,4931,4992,1330.53,321.39,13657.67,-0.1,0
2026-02-24 14:28:38,51.26,5999,6162,6011,1494.22,361.94,1.3,0
2026-02-24 14:28:38,ARMGC_246,51.26,5999,6179,6013,1452.62,349.88,20452.6,1.3,0
2026-02-24 14:33:45,ARMGC_212,61.41,7807,7548,7807,1865.11,403.02,24362.95,-0.8,0
2026-02-24 14:33:49,ARMGC_212,3.36,199,231,98,28.59,23.49,140.97,-1.0,0
2026-02-24 14:36:03,ARMGC_246,76.11,5999,6082,5999,1253.67,267.24,26529.03,2.2,0
2026-02-24 14:36:03,76.13,5999,6093,5999,1260.4,268.51,2.2,0
