timestamp,crane_id,fault_name,event_type,downtime_s,was_reset_pressed
2026-02-24 17:37:19,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:37:22,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,3.1,Not Pressed
2026-02-24 17:37:28,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:38:01,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,33.2,Not Pressed
2026-02-24 17:38:51,ARMGC_212,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:39:13,ARMGC_212,SPSS_Trolley_Dir_Not_Clear,Resolved,21.2,Not Pressed
2026-02-24 17:39:16,ARMGC_212,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:39:20,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:39:28,ARMGC_212,SPSS_Trolley_Dir_Not_Clear,Resolved,12.1,Not Pressed
2026-02-24 17:39:29,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,9.1,Not Pressed
2026-02-24 17:40:23,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:40:32,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,9.1,Not Pressed
2026-02-24 17:40:35,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:40:38,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,3.1,Not Pressed
2026-02-24 17:40:59,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:41:05,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,6.1,Not Pressed
2026-02-24 17:43:07,ARMGC_216,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:43:50,ARMGC_216,SPSS_Trolley_Dir_Not_Clear,Resolved,42.3,Not Pressed
2026-02-24 17:46:57,ARMGC_216,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:47:00,ARMGC_216,SPSS_Trolley_Dir_Not_Clear,Resolved,3.0,Not Pressed
2026-02-24 17:48:59,ARMGC_215,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:49:02,ARMGC_215,SPSS_Trolley_Dir_Not_Clear,Resolved,3.1,Not Pressed
2026-02-24 17:49:07,ARMGC_211,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:49:10,ARMGC_211,SPSS_Trolley_Dir_Not_Clear,Resolved,3.1,Not Pressed
2026-02-24 17:54:41,ARMGC_211,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:56:03,ARMGC_211,SPSS_Trolley_Dir_Not_Clear,Resolved,81.6,Not Pressed
2026-02-24 17:57:49,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:58:23,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,33.3,Not Pressed
2026-02-24 17:59:20,ARMGC_215,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:59:35,ARMGC_215,SPSS_Trolley_Dir_Not_Clear,Resolved,15.1,Not Pressed
2026-02-24 18:24:41,ARMGC_211,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 18:24:47,ARMGC_211,SPSS_Trolley_Dir_Not_Clear,Resolved,6.1,Not Pressed
2026-02-24 18:36:02,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 18:36:05,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,3.0,Not Pressed
2026-02-24 18:36:08,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 18:36:17,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,9.1,Not Pressed
2026-02-24 18:38:21,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 18:38:24,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,3.1,Not Pressed
2026-02-24 18:38:27,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 18:38:33,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,6.1,Not Pressed
2026-02-24 18:41:03,ARMGC_212,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 18:41:09,ARMGC_212,SPSS_Trolley_Dir_Not_Clear,Resolved,6.1,Not Pressed
2026-02-24 18:44:17,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 18:44:23,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,6.1,Not Pressed
2026-02-24 18:45:56,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 18:46:15,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,18.2,Not Pressed
2026-02-24 18:46:42,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 18:46:48,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,6.1,Not Pressed
2026-02-24 18:48:08,ARMGC_216,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 18:48:14,ARMGC_216,SPSS_Trolley_Dir_Not_Clear,Resolved,6.1,Not Pressed
2026-02-24 18:56:24,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 18:56:27,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,3.0,Not Pressed
2026-02-24 18:56:33,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 18:56:45,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,12.1,Not Pressed
2026-02-24 19:00:53,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 19:01:02,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,9.1,Not Pressed
2026-02-24 19:06:49,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 19:07:01,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,12.1,Not Pressed
2026-02-24 19:07:07,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 19:07:13,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,6.1,Not Pressed
2026-02-24 19:07:44,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 19:07:59,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,15.2,Not Pressed
2026-02-24 19:12:38,ARMGC_211,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 19:12:56,ARMGC_211,SPSS_Trolley_Dir_Not_Clear,Resolved,18.1,Not Pressed
2026-02-24 19:14:39,ARMGC_215,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 19:15:00,ARMGC_215,SPSS_Trolley_Dir_Not_Clear,Resolved,21.2,Not Pressed
2026-02-24 19:22:34,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 19:22:43,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,9.1,Not Pressed
2026-02-24 19:25:25,ARMGC_211,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 19:25:37,ARMGC_211,SPSS_Trolley_Dir_Not_Clear,Resolved,12.1,Not Pressed
2026-02-24 19:33:25,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 19:33:31,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,6.0,Not Pressed
2026-02-24 19:36:35,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 19:37:05,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,30.2,Not Pressed
2026-02-24 19:38:52,ARMGC_216,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 19:38:55,ARMGC_216,SPSS_Trolley_Dir_Not_Clear,Resolved,3.1,Not Pressed
2026-02-24 19:47:46,ARMGC_216,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 19:48:07,ARMGC_216,SPSS_Trolley_Dir_Not_Clear,Resolved,21.2,Not Pressed
2026-02-24 20:48:46,ARMGC_214,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-24 20:48:47,ARMGC_214,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-24 20:49:11,ARMGC_214,Spreader_Land_Fault_YT,Resolved,24.1,Not Pressed
2026-02-24 20:49:13,ARMGC_214,Spreader_Land_Fault_YT,Resolved,27.2,Not Pressed
2026-02-24 21:04:54,ARMGC_211,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 21:05:00,ARMGC_211,SPSS_Trolley_Dir_Not_Clear,Resolved,6.1,Not Pressed
2026-02-24 21:09:08,ARMGC_214,Spreader_Land_Fault_XT,Occurrence,0,Not Pressed
2026-02-24 21:09:09,ARMGC_214,Spreader_Land_Fault_XT,Occurrence,0,Not Pressed
2026-02-24 21:09:12,ARMGC_214,Spreader_Land_Fault_XT,Resolved,3.0,Not Pressed
2026-02-24 21:09:14,ARMGC_214,Spreader_Land_Fault_XT,Resolved,6.1,Not Pressed
2026-02-24 23:21:58,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 23:22:13,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,15.1,Not Pressed
2026-02-24 23:22:22,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 23:22:25,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,3.1,Not Pressed
2026-02-24 23:23:01,ARMGC_216,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-24 23:23:03,ARMGC_216,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-24 23:23:09,ARMGC_216,Spreader_Land_Fault_YT,Resolved,6.0,Not Pressed
2026-02-24 23:23:10,ARMGC_216,Spreader_Land_Fault_YT,Resolved,9.1,Not Pressed
2026-02-24 23:36:13,ARMGC_214,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-24 23:36:15,ARMGC_214,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-24 23:36:19,ARMGC_214,Spreader_Land_Fault_YT,Resolved,6.1,Not Pressed
2026-02-24 23:36:21,ARMGC_214,Spreader_Land_Fault_YT,Resolved,6.1,Not Pressed
2026-02-24 23:59:31,ARMGC_214,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-24 23:59:33,ARMGC_214,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-24 23:59:50,ARMGC_214,Spreader_Land_Fault_YT,Resolved,18.1,Not Pressed
2026-02-24 23:59:51,ARMGC_214,Spreader_Land_Fault_YT,Resolved,18.1,Not Pressed
2026-02-25 01:17:41,ARMGC_214,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-25 01:17:42,ARMGC_214,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-25 01:17:44,ARMGC_214,Spreader_Land_Fault_YT,Resolved,3.0,Not Pressed
2026-02-25 01:17:45,ARMGC_214,Spreader_Land_Fault_YT,Resolved,3.0,Not Pressed
2026-02-25 02:32:32,ARMGC_212,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-25 02:32:32,ARMGC_212,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-25 02:32:34,ARMGC_212,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-25 02:34:19,ARMGC_212,Spreader_Land_Fault_YT,Resolved,105.7,Not Pressed
2026-02-25 02:34:20,ARMGC_212,Spreader_Land_Fault_YT,Resolved,108.1,Not Pressed
2026-02-25 02:34:21,ARMGC_212,Spreader_Land_Fault_YT,Resolved,108.7,Not Pressed
2026-02-25 02:35:54,ARMGC_212,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-25 02:35:54,ARMGC_212,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
